"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2021-12-31 19:14:19","TLMUSDT","BUY","0.2090000000","85.0000000000TLM","17.76500000USDT","0.0850000000TLM"
"2021-12-31 17:53:08","LINAUSDT","SELL","0.0438800000","408.9700000000LINA","17.94560360USDT","0.0179456000USDT"
"2021-12-31 16:54:19","LINAUSDT","BUY","0.0445200000","409.3800000000LINA","18.22559760USDT","0.4093800000LINA"
"2021-12-31 16:54:14","LINAUSDT","SELL","0.0445200000","409.7900000000LINA","18.24385080USDT","0.0182438500USDT"
"2021-12-31 16:54:06","LINAUSDT","BUY","0.0445200000","410.2000000000LINA","18.26210400USDT","0.4102000000LINA"
"2021-12-31 16:53:41","LINAUSDT","SELL","0.0444700000","411.0700000000LINA","18.28028290USDT","0.0182802800USDT"
"2021-12-31 16:53:08","LINAUSDT","BUY","0.0446200000","411.4800000000LINA","18.36023760USDT","0.4114800000LINA"
"2021-12-31 16:52:58","LINAUSDT","SELL","0.0446200000","411.8900000000LINA","18.37853180USDT","0.0183785300USDT"
"2021-12-31 16:52:20","LINAUSDT","BUY","0.0446600000","412.3000000000LINA","18.41331800USDT","0.4123000000LINA"
"2021-12-31 16:52:15","LINAUSDT","SELL","0.0446400000","412.9000000000LINA","18.43185600USDT","0.0184318600USDT"
"2021-12-31 16:52:06","LINAUSDT","BUY","0.0446000000","413.3100000000LINA","18.43362600USDT","0.4133100000LINA"
"2021-12-31 16:52:03","LINAUSDT","SELL","0.0446000000","413.5000000000LINA","18.44210000USDT","0.0184421000USDT"
"2021-12-31 16:52:02","LINAUSDT","SELL","0.0446100000","0.2200000000LINA","0.00981420USDT","0.0000098100USDT"
"2021-12-31 16:51:53","LINAUSDT","BUY","0.0446200000","414.1400000000LINA","18.47892680USDT","0.4141400000LINA"
"2021-12-31 16:51:48","LINAUSDT","SELL","0.0446000000","414.6500000000LINA","18.49339000USDT","0.0184933900USDT"
"2021-12-31 16:51:30","LINAUSDT","BUY","0.0446800000","415.0600000000LINA","18.54488080USDT","0.4150600000LINA"
"2021-12-31 16:51:06","LINAUSDT","SELL","0.0446700000","415.1000000000LINA","18.54251700USDT","0.0185425200USDT"
