UID,Account Type,Order ID,Order Time(UTC+05:30),Symbol,Side,Order Type,Order Price,Order Amount,Avg Filled Price,Filled Amount,Filled Volume,Filled Volume (USDT),Filled Time(UTC+05:30),Fee,Fee Currency,Status
****4746,mainAccount,61fea5923526430001244ccd,2022-02-05 21:58:02,TRX-USDT,SELL,LIMIT,0.065544,1553.4348,0.065544,1553.4348,101.8183305312,101.8183305312,2022-02-05 21:58:03,0.1018183305312,USDT,deal
****4746,mainAccount,6203aa8eb6f11000016fa771,2022-02-09 17:20:38,CWEB-USDT,BUY,MARKET,0,0,0.03528,141.723356,4.99999999968,4.99999999968,2022-02-09 17:20:38,0.00999999999936,USDT,part_deal
****4746,mainAccount,6203ab94fd31e50001477616,2022-02-09 17:25:00,BLOK-USDT,BUY,MARKET,0,0,0.024598,203.26855841,4.99999999976918,4.99999999976918,2022-02-09 17:25:00,0.00999999999953836,USDT,part_deal
****4746,mainAccount,6203ac1ffd31e5000149809d,2022-02-09 17:27:19,CHMB-USDT,BUY,LIMIT,0.05254,100,0.05254,100,5.254,5.254,2022-02-09 17:27:20,0.015762,USDT,deal
****4746,mainAccount,6203ae8c7ee3b40001779dd1,2022-02-09 17:37:40,XLM-USDT,BUY,LIMIT,0.237989,22,0.237989,22,5.235758,5.235758,2022-02-09 17:38:14,0.005235758,USDT,deal
****4746,mainAccount,620518d8b6f1100001c211b2,2022-02-10 19:23:28,CHMB-USDT,SELL,LIMIT,0.05381,100,0.05381,100,5.381,5.381,2022-02-10 19:23:28,0.016143,USDT,deal
****4746,mainAccount,62052af9b6f1100001341ff2,2022-02-10 20:40:49,CWEB-USDT,SELL,LIMIT,0.0425,141.7233,0.0425,141.7233,6.02324025,6.02324025,2022-03-25 11:51:48,0.0120464805,USDT,deal
****4746,mainAccount,6205f572a4d3ac00014dac50,2022-02-11 11:04:42,DOT-USDT,BUY,LIMIT,20.3342,0.33,20.3342,0.33,6.710286,6.710286,2022-02-11 11:04:47,0.006710286,USDT,deal
****4746,mainAccount,6205f5d6cb789f00011e7df3,2022-02-11 11:06:22,SOL-USDT,BUY,LIMIT,104.388,0.065,104.382,0.065,6.78483,6.78483,2022-02-11 11:06:22,0.00678483,USDT,deal
****4746,mainAccount,6205f625fec9a60001bc8a6c,2022-02-11 11:07:41,SXP-USDT,BUY,LIMIT,1.4515,5.34,1.4515,5.34,7.75101,7.75101,2022-02-11 11:08:15,0.00775101,USDT,deal
****4746,mainAccount,6206ce29cb789f0001b340a1,2022-02-12 02:29:21,DOT-USDT,BUY,LIMIT,19.0814,0.02,19.0624,0.02,0.381248,0.381248,2022-02-12 02:29:21,0.000381248,USDT,deal
****4746,mainAccount,6206ce950bb1060001a1d07e,2022-02-12 02:31:09,ICP-USDT,BUY,LIMIT,20.04,0.1,20.04,0.1,2.004,2.004,2022-02-12 02:31:09,0.002004,USDT,deal
****4746,mainAccount,6206ceb7efab180001c234fd,2022-02-12 02:31:43,VET-USDT,BUY,LIMIT,0.0589852,25,0.0588522,25,1.471305,1.471305,2022-02-12 02:31:43,0.001471305,USDT,deal
****4746,mainAccount,6206ced33526430001159e9f,2022-02-12 02:32:11,EWT-USDT,BUY,LIMIT,6.2,0.2,6.2,0.2,1.24,1.24,2022-02-12 02:32:17,0.00124,USDT,deal
****4746,mainAccount,6206cf1d35fbd00001e88b0a,2022-02-12 02:33:25,LINK-USDT,BUY,LIMIT,16.5167,0.07,16.5132,0.07,1.155924,1.155924,2022-02-12 02:33:25,0.001155924,USDT,deal
****4746,mainAccount,620728c919673d0001ece0a1,2022-02-12 08:56:01,MATIC-USDT,BUY,LIMIT,1.7136,2.1,1.713,2.1,3.5973,3.5973,2022-02-12 08:56:01,0.0035973,USDT,deal
****4746,mainAccount,6207290f35fbd000013f81a0,2022-02-12 08:57:11,FTT-USDT,BUY,LIMIT,43.562,0.1,43.562,0.1,4.3562,4.3562,2022-02-12 08:57:11,0.0043562,USDT,deal
****4746,mainAccount,6209d7adf235a400014071b2,2022-02-14 09:46:45,THETA-USDT,BUY,LIMIT,3.4907,0.1,3.4907,0.1,0.34907,0.34907,2022-02-14 09:46:45,0.00034907,USDT,deal
