"Date(UTC)","Symbol","Price","Executed","Amount","Side"
"12/30/2021 11:02","DYDXUSDT","8.68","0.34","2.9512","Buy"
"12/28/2021 13:20","USDTINR","79.62","314.02","25002.2724","Buy"
"12/8/2021 17:00","USDTINR","80.56","94.89","7644.3384","Buy"
"12/7/2021 7:05","WRXINR","98.54","6.1","601.094","Buy"
"12/7/2021 7:05","WRXINR","98.54","28.8","2837.952","Buy"
"12/7/2021 7:05","WRXINR","98.54","5.8","571.532","Buy"
"12/7/2021 7:05","WRXINR","98.54","10","985.4","Buy"
"12/6/2021 17:02","WRXINR","91.88","45.6","4189.728","Buy"
"12/6/2021 0:04","WRXUSDT","1.17587","27.2","31.983664","Buy"
"12/6/2021 0:04","WRXUSDT","1.17587","4.8","5.644176","Buy"
"12/6/2021 0:04","WRXUSDT","1.17587","11.5","13.522505","Buy"
"12/6/2021 0:02","USDTINR","82.3","51","4197.3","Buy"
"12/5/2021 21:52","WRXUSDT","1.14491","10.1","11.563591","Buy"
"12/5/2021 21:52","WRXUSDT","1.14491","2.8","3.205748","Buy"
"12/5/2021 21:39","WRXUSDT","1.14491","2.9","3.320239","Buy"
"12/5/2021 21:39","WRXUSDT","1.14491","2.9","3.320239","Buy"
"12/5/2021 21:39","WRXUSDT","1.14491","2.9","3.320239","Buy"
"12/5/2021 21:39","WRXUSDT","1.14491","2.9","3.320239","Buy"
"12/5/2021 21:35","WRXUSDT","1.14491","3.5","4.007185","Buy"
"12/5/2021 21:35","WRXUSDT","1.14491","28.2","32.286462","Buy"
"12/5/2021 21:35","WRXUSDT","1.14491","3.2","3.663712","Buy"
"12/5/2021 21:35","WRXUSDT","1.14491","3.4","3.892694","Buy"
"12/5/2021 21:35","WRXUSDT","1.14491","2.7","3.091257","Buy"
"12/5/2021 21:34","WRXUSDT","1.14491","0.6","0.686946","Buy"
"12/5/2021 21:30","USDTINR","82.18","75.83","6231.7094","Buy"
"12/4/2021 21:42","DOTINR","2400","0.3","720","Buy"
"12/4/2021 21:27","ICPINR","2648","0.2","529.6","Buy"
"12/4/2021 16:10","DNTINR","13.1705","12.1","159.36305","Buy"
"12/4/2021 16:09","DNTINR","13.1705","16","210.728","Buy"
"12/4/2021 16:07","DNTINR","13.1705","20","263.41","Buy"
"12/4/2021 13:05","WRXINR","97","20","1940","Buy"
"12/4/2021 11:34","USDTINR","86.75","115.89","10053.4575","Sell"
"12/4/2021 11:04","USDTINR","83.98999999","115.89","9733.6011","Buy"
"12/3/2021 23:16","USDTINR","79.95","61.47","4914.5265","Sell"
"12/3/2021 0:31","WRXINR","125.15","11.3","1414.195","Sell"
"12/2/2021 20:07","USDTINR","79.4","7.89","626.466","Sell"
"12/2/2021 20:07","USDTINR","79.4","3.14","249.316","Sell"
"12/2/2021 20:07","USDTINR","79.4","50.43","4004.142","Sell"
"12/2/2021 13:04","USDTINR","79.3","2.18","172.874","Sell"
"12/2/2021 12:55","USDTINR","79.3","10.08","799.344","Sell"
"12/2/2021 12:55","USDTINR","79.3","28.71","2276.703","Sell"
