Filled Time (Local Time),Spot Pairs,Order Type,Direction,Filled Value,Filled Price,Filled Quantity,Fees,Transaction ID,Order No.,Timestamp (UTC)
2023-12-18 23:31:03,USDC/USDT,MARKET,BUY,10.816486000000000000 USDT,1.000600000000000000 USDT,10.810000000000000000 USDC,0.000000000000000000 USDC,33797632,58300160,2023-12-18 18:01:03
2023-12-09 21:24:26,ETH/USDC,LIMIT,BUY,7.89889960000000 USDC,2364.940000000000000000 USDC,0.003340000000000000 ETH,0.00000000000000 ETH,84639744,32889344,2023-12-09 15:54:26
2023-12-08 23:14:51,ETH/USDT,LIMIT,BUY,38.08101600000000 USDT,2350.680000000000000000 USDT,0.016200000000000000 ETH,0.00001620000000 ETH,94626816,77480960,2023-12-08 17:44:51
2023-12-08 23:14:35,ICP/USDT,LIMIT,SELL,38.043600000000000000 USDT,5.176000000000000000 USDT,7.350000000000000000 ICP,0.038043600000000000 USDT,38648576,79964928,2023-12-08 17:44:35
2023-12-03 00:38:53,MNT/USDT,LIMIT,SELL,0.879840000000000000 USDT,0.549900000000000000 USDT,1.600000000000000000 MNT,0.000879840000000000 USDT,06464512,95694080,2023-12-02 19:08:53
2023-12-03 00:38:08,MNT/USDT,LIMIT,SELL,82.215000000000000000 USDT,0.548100000000000000 USDT,150.000000000000000000 MNT,0.082215000000000000 USDT,43349760,84592896,2023-12-02 19:08:08
2023-12-03 00:37:47,MNT/USDT,LIMIT,BUY,85.948320000000000000 USDT,0.548000000000000000 USDT,156.840000000000000000 MNT,0.156840000000000000 MNT,84866048,17757184,2023-12-02 19:07:47
2023-12-03 00:30:40,MNT/USDT,LIMIT,SELL,58.599170000000000000 USDT,0.547400000000000000 USDT,107.050000000000000000 MNT,0.058599170000000000 USDT,68191232,09491712,2023-12-02 19:00:40
2023-12-03 00:29:16,MNT/USDT,LIMIT,BUY,56.099481000000000000 USDT,0.547900000000000000 USDT,102.390000000000000000 MNT,0.102390000000000000 MNT,85810688,18736640,2023-12-02 18:59:16
2023-12-03 00:23:42,PYTH/USDT,LIMIT,SELL,112.29434100000000 USDT,0.435300000000000000 USDT,257.970000000000000000 PYTH,0.11229434100000 USDT,25443584,58355456,2023-12-02 18:53:42
2023-12-03 00:23:38,PYTH/USDT,LIMIT,BUY,112.43334200000000 USDT,0.435400000000000000 USDT,258.230000000000000000 PYTH,0.25823000000000 PYTH,77176064,00973568,2023-12-02 18:53:38
