Date(UTC),Pair,Side,Price,Executed,Amount,Fee
2023-10-22 04:01:56,MATICBTC,BUY,0.0000190500,12.9000000000MATIC,0.00024574BTC,0.0129000000MATIC
2023-10-22 04:01:38,SOLBTC,SELL,0.0009916000,0.2500000000SOL,0.00024790BTC,0.0000002500BTC
2023-07-30 17:18:26,FTMBTC,BUY,0.0000083400,13.0000000000FTM,0.00010842BTC,0.0130000000FTM
2023-07-26 05:53:31,FTMBTC,BUY,0.0000080100,15.0000000000FTM,0.00012015BTC,0.0150000000FTM
2023-07-25 11:33:19,FTMBTC,BUY,0.0000082100,13.0000000000FTM,0.00010673BTC,0.0130000000FTM
2023-07-24 04:50:40,AVAXBTC,SELL,0.0004481000,0.2400000000AVAX,0.00010754BTC,0.0000001100BTC
2023-07-24 04:50:06,AVAXBTC,BUY,0.0004482000,0.3700000000AVAX,0.00016583BTC,0.0003700000AVAX
2023-07-24 04:49:56,AVAXBTC,SELL,0.0004481000,0.2700000000AVAX,0.00012099BTC,0.0000001200BTC
2023-07-24 04:49:04,AVAXBTC,BUY,0.0004483000,0.2800000000AVAX,0.00012552BTC,0.0002800000AVAX
2023-07-23 04:25:12,FTMBTC,BUY,0.0000085200,20.0000000000FTM,0.00017040BTC,0.0200000000FTM
2023-06-17 04:19:20,BNBBTC,BUY,0.0091290000,0.0250000000BNB,0.00022822BTC,0.0000187500BNB
2023-06-17 04:18:56,XLMBTC,SELL,0.0000029600,79.0000000000XLM,0.00023384BTC,0.0000002300BTC
2023-05-27 08:46:49,MATICBTC,BUY,0.0000343900,8.7000000000MATIC,0.00029919BTC,0.0087000000MATIC
2023-05-16 12:15:16,ETHUSDT,BUY,"1,817.2800000000",0.0060000000ETH,10.90368000USDT,0.0000060000ETH
2023-05-05 06:48:50,CAKEBTC,SELL,0.0000865000,2.4500000000CAKE,0.00021192BTC,0.0000002100BTC
2023-04-25 07:00:15,CAKEBTC,BUY,0.0000995000,2.5800000000CAKE,0.00025671BTC,0.0025800000CAKE
2023-04-19 03:07:32,ATOMBTC,SELL,0.0004109000,0.2500000000ATOM,0.00010272BTC,0.0000001000BTC
2023-04-19 03:05:33,ATOMBTC,BUY,0.0004111000,0.2900000000ATOM,0.00011922BTC,0.0000078900BNB
2023-04-05 10:30:21,MATICUSDT,BUY,1.1492000000,9.5000000000MATIC,10.91740000USDT,0.0095000000MATIC
2023-04-05 10:30:03,MAGICUSDT,SELL,1.3996000000,7.7000000000MAGIC,10.77692000USDT,0.0107769200USDT
2023-04-05 10:21:19,MAGICUSDT,BUY,1.3983000000,7.8000000000MAGIC,10.90674000USDT,0.0078000000MAGIC
2023-04-05 10:20:37,DOTUSDT,BUY,6.5300000000,1.6800000000DOT,10.97040000USDT,0.0000261400BNB
2023-04-05 10:20:26,GALAUSDT,BUY,0.0414900000,265.0000000000GALA,10.99485000USDT,0.0000261900BNB
2023-04-03 10:13:50,CAKEUSDT,BUY,3.7320000000,2.7000000000CAKE,10.07640000USDT,0.0000241900BNB
2023-04-02 19:33:07,BNBBTC,BUY,0.0111180000,0.0130000000BNB,0.00014453BTC,0.0000097500BNB
2023-04-02 07:15:26,ALPINEUSDT,SELL,2.2802000000,11.3900000000ALPINE,25.97147800USDT,0.0259714800USDT
2023-04-02 07:15:23,ALPINEUSDT,SELL,2.2802000000,14.5900000000ALPINE,33.26811800USDT,0.0332681200USDT
2023-04-02 07:05:58,ALPINEUSDT,BUY,2.2819000000,5.0000000000ALPINE,11.40950000USDT,0.0050000000ALPINE
2023-04-02 07:04:11,ALPINEUSDT,BUY,2.2800000000,20.0000000000ALPINE,45.60000000USDT,0.0200000000ALPINE
2023-03-27 05:06:13,MATICUSDT,BUY,1.0957000000,10.9000000000MATIC,11.94313000USDT,0.0109000000MATIC
2023-03-26 03:59:46,APTUSDT,SELL,11.6759000000,0.8600000000APT,10.04127400USDT,0.0100412700USDT
2023-03-26 03:59:27,APTUSDT,BUY,11.6744000000,0.0800000000APT,0.93395200USDT,0.0000800000APT
2023-03-26 03:59:27,APTUSDT,BUY,11.6744000000,1.0300000000APT,12.02463200USDT,0.0010300000APT
2023-03-24 15:56:15,ALCXBTC,SELL,0.0007490000,0.1497000000ALCX,0.00011213BTC,0.0000072000BNB
2023-03-23 18:05:07,APTUSDT,SELL,13.2010000000,0.7900000000APT,10.42879000USDT,0.0000237600BNB
2023-03-23 18:04:37,APTUSDT,BUY,13.1903000000,0.9000000000APT,11.87127000USDT,0.0000272300BNB
2023-03-22 12:30:01,STGUSDT,BUY,0.7187000000,14.0000000000STG,10.06180000USDT,0.0140000000STG
2023-03-22 12:20:08,IDUSDT,SELL,0.4700600000,73.0000000000ID,34.31438000USDT,0.0343143800USDT
2023-03-22 12:06:48,IDUSDT,SELL,0.4950000000,24.0000000000ID,11.88000000USDT,0.0118800000USDT
2023-03-21 11:03:31,MATICUSDT,SELL,1.1219000000,9.3000000000MATIC,10.43367000USDT,0.0000233700BNB
2023-03-20 17:35:01,MATICUSDT,BUY,1.1282000000,10.5000000000MATIC,11.84610000USDT,0.0000263900BNB
2023-03-17 04:08:20,ETHUSDT,BUY,"1,708.9200000000",0.0059000000ETH,10.08262800USDT,0.0000227700BNB
2023-03-14 07:57:20,EGLDUSDT,SELL,41.9900000000,0.4800000000EGLD,20.15520000USDT,0.0000496400BNB
2023-03-14 07:57:15,EGLDUSDT,BUY,41.9900000000,0.2600000000EGLD,10.91740000USDT,0.0000268200BNB
