"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2021-12-28 17:24:40","DNTUSDT","BUY","0.1401000000","142.0000000000DNT","19.89420000USDT","0.0000275100BNB"
"2021-12-28 16:47:19","BICOUSDT","BUY","4.3300000000","3.4600000000BICO","14.98180000USDT","0.0000207600BNB"
"2021-12-28 08:24:33","DOTUSDT","BUY","29.1500000000","1.0200000000DOT","29.73300000USDT","0.0000406400BNB"
"2021-12-28 08:22:49","STEEMBTC","BUY","0.0000091200","47.0000000000STEEM","0.00042864BTC","0.0000288500BNB"
"2021-12-28 08:19:50","STEEMBTC","BUY","0.0000091000","18.0000000000STEEM","0.00016380BTC","0.0000110600BNB"
"2021-12-28 08:19:33","KSMUSDT","BUY","318.8000000000","0.0940000000KSM","29.96720000USDT","0.0000409500BNB"
"2021-12-28 08:16:31","BTCUSDT","BUY","49390.3300000000","0.0006000000BTC","29.63419800USDT","0.0000404600BNB"
"2021-12-28 08:15:08","FLUXUSDT","BUY","2.2340000000","13.4200000000FLUX","29.98028000USDT","0.0000409500BNB"
"2021-12-28 08:14:04","BICOUSDT","BUY","4.9850000000","6.0300000000BICO","30.05955000USDT","0.0000411500BNB"
"2021-12-28 08:12:59","OCEANUSDT","BUY","0.9361000000","32.0000000000OCEAN","29.95520000USDT","0.0000408400BNB"
"2021-12-28 04:27:52","HNTUSDT","BUY","36.4300000000","0.8200000000HNT","29.87260000USDT","0.0000410700BNB"
"2021-12-28 04:25:54","STXUSDT","BUY","2.3730000000","12.6000000000STX","29.89980000USDT","0.0000410800BNB"
"2021-12-28 04:25:00","VIDTUSDT","BUY","0.8491000000","35.3000000000VIDT","29.97323000USDT","0.0000411900BNB"
"2021-12-27 17:32:26","NEARUSDT","SELL","15.3100000000","2.2000000000NEAR","33.68200000USDT","0.0336820000USDT"
"2021-12-27 17:32:26","NEARUSDT","SELL","15.3090000000","3.6000000000NEAR","55.11240000USDT","0.0551124000USDT"
"2021-12-27 17:32:26","NEARUSDT","SELL","15.3090000000","0.6000000000NEAR","9.18540000USDT","0.0000121800BNB"
"2021-12-27 17:32:08","NEARUSDT","BUY","15.3090000000","3.8000000000NEAR","58.17420000USDT","0.0038000000NEAR"
"2021-12-27 17:32:08","NEARUSDT","BUY","15.3080000000","2.6000000000NEAR","39.80080000USDT","0.0026000000NEAR"
"2021-12-27 17:31:54","NEARUSDT","SELL","15.3080000000","1.3000000000NEAR","19.90040000USDT","0.0199004000USDT"
"2021-12-27 17:31:54","NEARUSDT","SELL","15.3070000000","5.2000000000NEAR","79.59640000USDT","0.0795964000USDT"
"2021-12-27 17:31:48","NEARUSDT","BUY","15.3050000000","6.5000000000NEAR","99.48250000USDT","0.0065000000NEAR"
"2021-12-27 17:31:42","NEARUSDT","SELL","15.3020000000","3.6000000000NEAR","55.08720000USDT","0.0550872000USDT"
"2021-12-27 17:31:42","NEARUSDT","SELL","15.3040000000","1.6000000000NEAR","24.48640000USDT","0.0244864000USDT"
"2021-12-27 17:31:42","NEARUSDT","SELL","15.3040000000","1.3000000000NEAR","19.89520000USDT","0.0198952000USDT"
"2021-12-27 17:31:34","NEARUSDT","BUY","15.2970000000","2.6000000000NEAR","39.77220000USDT","0.0026000000NEAR"
"2021-12-27 17:31:34","NEARUSDT","BUY","15.2950000000","3.9000000000NEAR","59.65050000USDT","0.0039000000NEAR"
"2021-12-27 17:31:27","NEARUSDT","SELL","15.3030000000","6.5000000000NEAR","99.46950000USDT","0.0994695000USDT"
"2021-12-27 17:31:22","NEARUSDT","BUY","15.3030000000","6.5000000000NEAR","99.46950000USDT","0.0065000000NEAR"
"2021-12-27 17:31:17","NEARUSDT","SELL","15.3020000000","2.5000000000NEAR","38.25500000USDT","0.0382550000USDT"
"2021-12-27 17:31:17","NEARUSDT","SELL","15.3030000000","0.7000000000NEAR","10.71210000USDT","0.0107121000USDT"
"2021-12-27 17:31:17","NEARUSDT","SELL","15.3030000000","2.0000000000NEAR","30.60600000USDT","0.0306060000USDT"
"2021-12-27 17:31:17","NEARUSDT","SELL","15.3060000000","1.3000000000NEAR","19.89780000USDT","0.0198978000USDT"
"2021-12-27 17:31:11","NEARUSDT","BUY","15.3030000000","2.6000000000NEAR","39.78780000USDT","0.0026000000NEAR"
"2021-12-27 17:31:11","NEARUSDT","BUY","15.3020000000","3.9000000000NEAR","59.67780000USDT","0.0039000000NEAR"
"2021-12-27 17:31:04","NEARUSDT","SELL","15.3030000000","5.2000000000NEAR","79.57560000USDT","0.0795756000USDT"
"2021-12-27 17:31:04","NEARUSDT","SELL","15.3030000000","1.3000000000NEAR","19.89390000USDT","0.0198939000USDT"
"2021-12-27 17:30:58","NEARUSDT","BUY","15.3030000000","1.3000000000NEAR","19.89390000USDT","0.0013000000NEAR"
"2021-12-27 17:30:58","NEARUSDT","BUY","15.3040000000","5.2000000000NEAR","79.58080000USDT","0.0052000000NEAR"
"2021-12-27 17:30:53","NEARUSDT","SELL","15.3030000000","1.3000000000NEAR","19.89390000USDT","0.0198939000USDT"
