"Filled Time (Local Time)","Spot Pairs","Order Type","Direction","Filled Value","Filled Price","Filled Quantity","Fees","Transaction ID","Order No.","Timestamp (UTC)"
"2023-06-24 09:06:41","AVA/USDT","LIMIT","BUY","4.638000000000000000 USDT","0.463800000000000000 USDT","10.000000000000000000 AVA","0.010000000000000000 AVA","53427968","94627072","2023-06-24 03:36:41"
"2023-06-24 09:05:52","ATOM/USDT","LIMIT","BUY","4.67070000000000 USDT","9.341400000000000000 USDT","0.500000000000000000 ATOM","0.00050000000000 ATOM","94710272","12761344","2023-06-24 03:35:52"
"2023-06-24 09:04:58","LINK/USDT","LIMIT","BUY","6.10200000000000 USDT","6.102000000000000000 USDT","1.000000000000000000 LINK","0.00100000000000 LINK","46788608","88068352","2023-06-24 03:34:58"
"2023-06-24 09:03:10","DOT/USDT","LIMIT","BUY","5.082000000000000000 USDT","5.082000000000000000 USDT","1.000000000000000000 DOT","0.001000000000000000 DOT","68959232","85044736","2023-06-24 03:33:10"
"2023-06-10 18:20:58","MATIC/USDT","LIMIT","BUY","9.993854000000000000 USDT","0.573700000000000000 USDT","17.420000000000000000 MATIC","0.017420000000000000 MATIC","07962368","57020416","2023-06-10 12:50:58"
"2023-06-08 09:51:33","SUI/USDT","LIMIT","BUY","5.998080000000000000 USDT","0.768000000000000000 USDT","7.810000000000000000 SUI","0.007810000000000000 SUI","81651200","30604288","2023-06-08 04:21:33"
"2023-06-05 21:28:26","SUI/USDT","LIMIT","BUY","8.000000000000000000 USDT","0.800000000000000000 USDT","10.000000000000000000 SUI","0.010000000000000000 SUI","06797056","22258432","2023-06-05 15:58:26"
"2023-05-16 11:50:19","SUI/USDT","LIMIT","BUY","11.740000000000000000 USDT","1.174000000000000000 USDT","10.000000000000000000 SUI","0.010000000000000000 SUI","45925632","28485120","2023-05-16 06:20:19"
"2023-05-13 19:40:42","ETH/USDT","LIMIT","BUY","24.98080760000000 USDT","1799.770000000000000000 USDT","0.013880000000000000 ETH","0.00001388000000 ETH","30798080","88184832","2023-05-13 14:10:42"
"2023-05-06 13:39:21","SUI/USDT","LIMIT","BUY","13.288000000000000000 USDT","1.328800000000000000 USDT","10.000000000000000000 SUI","0.010000000000000000 SUI","03120128","77291008","2023-05-06 08:09:21"
"2023-05-05 15:06:39","ETH/USDT","LIMIT","BUY","1.19802690000000 USDT","1901.630000000000000000 USDT","0.000630000000000000 ETH","0.00000063000000 ETH","27262464","18318336","2023-05-05 09:36:39"
"2023-05-05 15:00:57","ETH/USDT","LIMIT","BUY","5.69520000000000 USDT","1898.400000000000000000 USDT","0.003000000000000000 ETH","0.00000300000000 ETH","94883584","85939456","2023-05-05 09:30:57"
"2023-03-16 16:41:51","BIT/USDT","LIMIT","BUY","9.370385000000000000 USDT","0.530900000000000000 USDT","17.650000000000000000 BIT","0.017650000000000000 BIT","39269632","13486336","2023-03-16 11:11:51"
"2023-02-20 17:17:53","TON/USDT","LIMIT","SELL","4.831936000000000000 USDT","2.345600000000000000 USDT","2.060000000000000000 TON","0.004831936000000000 USDT","99390720","60465408","2023-02-20 11:47:53"
"2023-01-03 23:12:58","XLM/USDT","LIMIT","BUY","50.975403000000000000 USDT","0.073230000000000000 USDT","696.100000000000000000 XLM","0.696100000000000000 XLM","17785856","25441024","2023-01-03 17:42:58"
"2023-01-03 20:37:38","TON/USDT","LIMIT","SELL","12.729184000000000000 USDT","2.150200000000000000 USDT","5.920000000000000000 TON","0.012729184000000000 USDT","31265024","87404288","2023-01-03 15:07:38"
"2023-01-03 20:37:31","TON/USDT","LIMIT","BUY","12.751279000000000000 USDT","2.150300000000000000 USDT","5.930000000000000000 TON","0.005930000000000000 TON","03986432","86584576","2023-01-03 15:07:31"
"2023-01-03 20:34:47","TON/USDT","LIMIT","SELL","24.859780000000000000 USDT","2.150500000000000000 USDT","11.560000000000000000 TON","0.024859780000000000 USDT","51784448","58846464","2023-01-03 15:04:47"
"2023-01-03 20:34:28","TON/USDT","LIMIT","SELL","10.064340000000000000 USDT","2.150500000000000000 USDT","4.680000000000000000 TON","0.010064340000000000 USDT","20716033","86536960","2023-01-03 15:04:28"
"2023-01-03 20:34:28","TON/USDT","LIMIT","BUY","10.064340000000000000 USDT","2.150500000000000000 USDT","4.680000000000000000 TON","0.004680000000000000 TON","20716032","57379840","2023-01-03 15:04:28"
"2023-01-03 20:34:24","TON/USDT","LIMIT","SELL","16.128750000000000000 USDT","2.150500000000000000 USDT","7.500000000000000000 TON","0.016128750000000000 USDT","33541121","42980864","2023-01-03 15:04:24"
"2023-01-03 20:34:24","TON/USDT","LIMIT","BUY","16.128750000000000000 USDT","2.150500000000000000 USDT","7.500000000000000000 TON","0.007500000000000000 TON","33541120","57379840","2023-01-03 15:04:24"
"2023-01-03 20:34:19","TON/USDT","LIMIT","SELL","26.214595000000000000 USDT","2.150500000000000000 USDT","12.190000000000000000 TON","0.026214595000000000 USDT","44343552","42980864","2023-01-03 15:04:19"
"2023-01-03 20:34:15","TON/USDT","LIMIT","BUY","21.209020000000000000 USDT","2.153200000000000000 USDT","9.850000000000000000 TON","0.009850000000000000 TON","59720704","59057408","2023-01-03 15:04:15"
"2023-01-03 20:34:09","TON/USDT","LIMIT","SELL","21.231538000000000000 USDT","2.153300000000000000 USDT","9.860000000000000000 TON","0.021231538000000000 USDT","31032321","79965184","2023-01-03 15:04:09"
"2023-01-03 20:34:09","TON/USDT","LIMIT","BUY","21.231538000000000000 USDT","2.153300000000000000 USDT","9.860000000000000000 TON","0.009860000000000000 TON","31032320","00708352","2023-01-03 15:04:09"
"2023-01-03 20:33:53","TON/USDT","LIMIT","BUY","30.038535000000000000 USDT","2.153300000000000000 USDT","13.950000000000000000 TON","0.013950000000000000 TON","18148864","00708352","2023-01-03 15:03:53"
