"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2022-12-31 14:20:43","TRXUSDT","SELL","0.0549400000","946.4000000000TRX","51.99521600USDT","0.0001578700BNB"
"2022-12-31 14:10:18","TRXUSDT","BUY","0.0549400000","946.4000000000TRX","51.99521600USDT","0.0001580700BNB"
"2022-12-31 13:35:05","ZILUSDT","BUY","0.0160300000","3243.9000000000ZIL","51.99971700USDT","0.0001574100BNB"
"2022-12-30 17:24:54","EOSUSDT","SELL","0.8570000000","48.4000000000EOS","41.47880000USDT","0.0001269700BNB"
"2022-12-30 15:53:52","EOSUSDT","BUY","0.8580000000","48.9000000000EOS","41.95620000USDT","0.0001283600BNB"
"2022-12-30 07:32:03","EOSUSDT","SELL","0.8480000000","48.5000000000EOS","41.12800000USDT","0.0001268800BNB"
"2022-12-30 06:59:21","EOSUSDT","BUY","0.8580000000","48.9000000000EOS","41.95620000USDT","0.0001287200BNB"
"2022-12-29 17:36:58","EOSUSDT","SELL","0.8690000000","47.4000000000EOS","41.19060000USDT","0.0001256700BNB"
"2022-12-29 10:04:21","EOSUSDT","SELL","0.8690000000","11.6000000000EOS","10.08040000USDT","0.0000307400BNB"
"2022-12-29 10:03:19","EOSUSDT","BUY","0.8700000000","48.3000000000EOS","42.02100000USDT","0.0001275000BNB"
"2022-12-29 09:20:04","EOSUSDT","BUY","0.8670000000","11.6000000000EOS","10.05720000USDT","0.0000307000BNB"
"2022-12-28 06:58:21","SOLBTC","SELL","0.0005970000","0.3400000000SOL","0.00020298BTC","0.0000102500BNB"
"2022-12-26 13:31:41","XLMUSDT","SELL","0.0744000000","205.0000000000XLM","15.25200000USDT","0.0000470400BNB"
"2022-12-25 13:17:47","SOLBTC","BUY","0.0006775000","0.3600000000SOL","0.00024390BTC","0.0000125700BNB"
"2022-12-24 04:36:30","MATICBTC","BUY","0.0000475500","8.0000000000MATIC","0.00038040BTC","0.0000195300BNB"
"2022-12-24 04:20:27","MATICBTC","BUY","0.0000475500","2.2000000000MATIC","0.00010461BTC","0.0000053700BNB"
"2022-12-24 04:18:07","BCHBTC","SELL","0.0060900000","0.0340000000BCH","0.00020706BTC","0.0000107900BNB"
"2022-12-24 04:17:44","BCHBTC","BUY","0.0061000000","0.0180000000BCH","0.00010980BTC","0.0000056200BNB"
"2022-12-22 12:01:25","OSMOBTC","BUY","0.0000428700","2.3500000000OSMO","0.00010074BTC","0.0000051600BNB"
"2022-12-19 11:58:35","TRXBTC","BUY","0.0000032200","32.0000000000TRX","0.00010304BTC","0.0320000000TRX"
"2022-12-19 11:41:23","BCHBTC","SELL","0.0060600000","0.1160000000BCH","0.00070296BTC","0.0000007000BTC"
"2022-12-19 05:28:23","BCHBTC","BUY","0.0060400000","0.0180000000BCH","0.00010872BTC","0.0000180000BCH"
"2022-12-19 04:29:03","BCHBTC","BUY","0.0060400000","0.1000000000BCH","0.00060400BTC","0.0001000000BCH"
"2022-12-18 15:37:57","BCHBTC","BUY","0.0061200000","0.0170000000BCH","0.00010404BTC","0.0000170000BCH"
"2022-12-17 00:55:51","ALPINEBTC","SELL","0.0001361700","10.0700000000ALPINE","0.00137123BTC","0.0000013700BTC"
"2022-12-16 15:17:34","ALPINEBTC","BUY","0.0001380400","2.0400000000ALPINE","0.00028160BTC","0.0020400000ALPINE"
"2022-12-16 15:17:22","ALPINEUSDT","BUY","2.3453000000","8.0400000000ALPINE","18.85621200USDT","0.0080400000ALPINE"
"2022-12-16 15:17:02","ALPINEBTC","SELL","0.0001380400","1.0000000000ALPINE","0.00013804BTC","0.0000001400BTC"
"2022-12-16 15:16:44","TRXBTC","SELL","0.0000032300","44.0000000000TRX","0.00014212BTC","0.0000001400BTC"
